src,dst,weight
f/prompts.chat,Denis2054/Transformers-for-NLP-2nd-Edition,4
f/prompts.chat,Significant-Gravitas/AutoGPT,6
f/prompts.chat,langgenius/dify,7
f/prompts.chat,langchain-ai/langchain,6
f/prompts.chat,NousResearch/hermes-agent,5
f/prompts.chat,OpenHands/OpenHands,5
f/prompts.chat,JuliusBrussee/caveman,4
f/prompts.chat,zhayujie/CowAgent,5
f/prompts.chat,janhq/jan,4
f/prompts.chat,HKUDS/nanobot,5
f/prompts.chat,asgeirtj/system_prompts_leaks,7
f/prompts.chat,QuivrHQ/quivr,5
f/prompts.chat,reworkd/AgentGPT,4
f/prompts.chat,AstrBotDevs/AstrBot,6
f/prompts.chat,langchain-ai/langgraph,6
f/prompts.chat,CopilotKit/CopilotKit,5
f/prompts.chat,onyx-dot-app/onyx,4
f/prompts.chat,voideditor/void,5
f/prompts.chat,ComposioHQ/composio,4
f/prompts.chat,labring/FastGPT,4
f/prompts.chat,microsoft/semantic-kernel,4
f/prompts.chat,langfuse/langfuse,4
f/prompts.chat,yamadashy/repomix,9
f/prompts.chat,vercel/ai,6
f/prompts.chat,mastra-ai/mastra,4
f/prompts.chat,davideuler/architecture.of.internet-product,4
f/prompts.chat,dyad-sh/dyad,6
f/prompts.chat,cheahjs/free-llm-api-resources,5
f/prompts.chat,comet-ml/opik,4
f/prompts.chat,elder-plinius/L1B3RT4S,4
f/prompts.chat,TransformerOptimus/SuperAGI,6
f/prompts.chat,plandex-ai/plandex,4
f/prompts.chat,MemoriLabs/Memori,4
f/prompts.chat,rowboatlabs/rowboat,4
f/prompts.chat,opencode-ai/opencode,4
f/prompts.chat,TheR1D/shell_gpt,4
f/prompts.chat,h2oai/h2ogpt,4
f/prompts.chat,e2b-dev/E2B,7
f/prompts.chat,steven2358/awesome-generative-ai,4
f/prompts.chat,langchain4j/langchain4j,5
f/prompts.chat,dataelement/bisheng,4
f/prompts.chat,microsoft/promptflow,5
f/prompts.chat,getumbrel/llama-gpt,6
f/prompts.chat,bytebot-ai/bytebot,4
f/prompts.chat,sigoden/aichat,5
f/prompts.chat,ashishps1/learn-ai-engineering,4
f/prompts.chat,business-science/ai-data-science-team,4
f/prompts.chat,h2oai/h2o-llmstudio,4
f/prompts.chat,truefoundry/cognita,4
f/prompts.chat,filipecalegario/awesome-generative-ai,6
