model,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10,Coverage@10
Popularity baseline,366.912,0.2058,0.0062026160064435985,0.09277484126984126,0.18451135458916013,0.003626772172766238
Content-based baseline,366.912,0.7652,0.03749621243648842,0.679645634920635,0.7745727800812311,0.7309594460929772
Hybrid PCA + K-means ranking,366.912,0.7726000000000001,0.034823494207102394,0.6962846825396826,0.784904140381603,0.6218265743488296
