model,query_idx,query_repo,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity baseline,836,Andrew-Jang/RAGHub,686,0.5,0.007288629737609329,0.23285714285714282,0.43042149375026456
Popularity baseline,838,dipanjanS/text-analytics-with-python,83,0.1,0.012048192771084338,0.0125,0.06943122193677727
Popularity baseline,844,neomatrix369/awesome-ai-ml-dl,790,0.5,0.006329113924050633,0.3113095238095238,0.48649183542828267
Popularity baseline,846,ymcui/Chinese-XLNet,252,0.1,0.003968253968253968,0.0125,0.06943122193677727
Popularity baseline,854,boudinfl/pke,594,0.4,0.006734006734006734,0.19416666666666665,0.38196033715832356
Popularity baseline,855,microsoft/Semi-supervised-learning,892,0.3,0.0033632286995515697,0.12083333333333332,0.2742654694553681
Popularity baseline,858,superlinked/sie,559,0.4,0.007155635062611807,0.19416666666666665,0.38196033715832356
Popularity baseline,861,Farama-Foundation/chatarena,350,0.6,0.017142857142857144,0.2984126984126984,0.4966757172046536
Popularity baseline,862,frutik/awesome-search,220,0.1,0.004545454545454545,0.0125,0.06943122193677727
Popularity baseline,867,code-kern-ai/refinery,832,0.4,0.004807692307692308,0.2095238095238095,0.39170347105873193
Popularity baseline,875,deepinsight/insightface,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,877,Sanster/IOPaint,808,0.2,0.0024752475247524753,0.05,0.16421958630632802
Popularity baseline,888,xmu-xiaoma666/External-Attention-pytorch,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,895,arogozhnikov/einops,471,0.3,0.006369426751592357,0.12083333333333332,0.2742654694553681
Popularity baseline,897,voicepaw/so-vits-svc-fork,355,0.2,0.005633802816901409,0.05,0.16421958630632802
Popularity baseline,903,MVIG-SJTU/AlphaPose,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,910,LMCache/LMCache,42,0.1,0.023809523809523808,0.0125,0.06943122193677727
Popularity baseline,913,FunAudioLLM/SenseVoice,497,0.6,0.012072434607645875,0.3396428571428572,0.5252098581198152
Popularity baseline,915,lanpa/tensorboardX,1171,0.4,0.0034158838599487617,0.17619047619047618,0.3476293915547282
Popularity baseline,916,jwyang/faster-rcnn.pytorch,619,0.2,0.0032310177705977385,0.05,0.16421958630632802
Popularity baseline,919,XavierXiao/Dreambooth-Stable-Diffusion,45,0.1,0.022222222222222223,0.025,0.09478836436955078
Popularity baseline,925,vladmandic/sdnext,217,0.2,0.009216589861751152,0.05,0.16421958630632802
Popularity baseline,928,flwrlabs/flower,1089,0.6,0.005509641873278237,0.3713095238095238,0.5501126236272343
