model,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10,Coverage@10
Popularity baseline,366.912,0.2058,0.0062026160064435985,0.09277484126984126,0.18451135458916013,0.003626772172766238
Content-based baseline,366.912,0.7672,0.03754341702801433,0.681972619047619,0.7759928225131204,0.73260797889878
Hybrid PCA + K-means ranking,366.912,0.772,0.03480913122894779,0.6961627777777778,0.7845278086090581,0.6201780415430267
