repo_id,nombre,descripcion,lenguaje,stars,forks,topics,fecha_creacion,ultimo_commit,url
797465286,basilevh/gcd,Generative Camera Dolly: Extreme Monocular Dynamic Novel View Synthesis (ECCV 2024 Oral) - Official Implementation,Python,285,10,"['3d', '4d', 'computer-graphics', 'computer-vision', 'deep-learn', 'deep-learning', 'diffusion-models', 'dynamic-view-synthesis', 'eccv2024', 'generative-ai', 'machine-learning', 'novel-view-synthesis', 'object-permanence', 'research', 'scene-reconstruction', 'scene-understanding', 'stable-video-diffusion', 'video-generation', 'video-to-video']",2024-05-07 22:20:06+00:00,2025-11-18 21:15:41+00:00,https://github.com/basilevh/gcd
368619066,twitter-research/image-crop-analysis,"Code for reproducing our analysis in the paper titled: Image Cropping on Twitter: Fairness Metrics, their Limitations, and the Importance of Representation, Design, and Agency",Jupyter Notebook,254,41,"['machine-learning', 'computer-vision', 'image-processing', 'bias', 'fairness-ml', 'fairness', 'research']",2021-05-18 17:45:24+00:00,2021-10-25 16:51:26+00:00,https://github.com/twitter-research/image-crop-analysis
138592763,Lextal/SotA-CV,A repository of state-of-the-art deep learning methods in computer vision,,196,34,"['computer-vision', 'deep-learning', 'research', 'compendium', 'neural-network', 'neural-networks']",2018-06-25 12:35:16+00:00,2018-07-06 13:30:50+00:00,https://github.com/Lextal/SotA-CV
325794213,louisfb01/Top-10-Computer-Vision-Papers-2020,"A list of the top 10 computer vision papers in 2020 with video demos, articles, code and paper reference.",,193,37,"['artificial-intelligence', 'computer-vision', 'computer-graphics', 'cv', 'deep-learning', 'deep-neural-networks', 'paper', 'papers', 'eccv2020', 'eccv', 'iccv', 'neurips-2020', 'aaai2020', 'ieee', 'iclr2020', 'icml-2020', 'nips-2020', 'research-paper', 'research', 'paper-references']",2020-12-31 12:18:47+00:00,2022-01-28 15:27:59+00:00,https://github.com/louisfb01/Top-10-Computer-Vision-Papers-2020
179800189,lightforever/mlcomp,Distributed DAG  (Directed acyclic graph)  framework for machine learning with UI,Python,189,25,"['deep-learning', 'machine-learning', 'computer-vision', 'python', 'distributed-computing', 'infrastructure', 'research', 'pytorch', 'automl', 'artificial-intelligence']",2019-04-06 07:05:02+00:00,2020-04-10 14:45:04+00:00,https://github.com/lightforever/mlcomp
387904005,learn-to-race/l2r,Open-source reinforcement learning environment for autonomous racing — featured as a conference paper at ICCV 2021 and as the official challenge tracks at both SL4AD@ICML2022 and AI4AD@IJCAI2022. These are the L2R core libraries.,Python,175,17,"['research', 'ai', 'computer-vision', 'deep-learning', 'reinforcement-learning', 'safe-reinforcement-learning', 'l2r', 'constrained-mdps', 'arrival-simulator', 'autonomous-racing', 'autonomous-driving', 'artificial-intelligence', 'deep-reinforcement-learning', 'learn-to-race', 'machine-learning', 'simulator', 'robotics']",2021-07-20 20:15:09+00:00,2023-12-20 18:08:08+00:00,https://github.com/learn-to-race/l2r
323115629,arthurdouillard/deepcourse,"Learn the Deep Learning for Computer Vision in three steps: theory from base to SotA, code in PyTorch, and space-repetition with Anki",Jupyter Notebook,149,18,"['computer-vision', 'pytorch', 'course', 'research', 'anki', 'deep-learning']",2020-12-20 16:29:34+00:00,2021-12-07 09:12:22+00:00,https://github.com/arthurdouillard/deepcourse
647179012,bytedance/SPTSv2,The official implementation of SPTS v2: Single-Point Text Spotting,Python,138,19,"['artificial-intelligence', 'computer-vision', 'deep-learning', 'ocr', 'research']",2023-05-30 08:21:05+00:00,2023-06-29 07:40:48+00:00,https://github.com/bytedance/SPTSv2
439682235,louisfb01/top-10-cv-papers-2021,"A curated list of the top 10 computer vision papers in 2021 with video demos, articles, code and paper reference.",,129,18,"['2021', 'gans', 'transformers', 'ai', 'computer-vision', 'python', 'machine-learning', 'deep-learning', 'paper', 'technology', 'innovation', 'state-of-art', 'sota', 'state-of-the-art', 'sota-technique', 'research-paper', 'machinelearning', 'research']",2021-12-18 18:02:29+00:00,2022-01-28 15:26:22+00:00,https://github.com/louisfb01/top-10-cv-papers-2021
720952866,soda-auto/soda-sim,Open-source vehicle and robotics simulator for research.,C++,128,4,"['ai', 'autonomous-vehicles', 'computer-vision', 'deep-learning', 'hardware-in-the-loop', 'hil', 'opendrive', 'openscenario', 'research', 'ros', 'ros2', 'sil', 'simulator', 'software-in-the-loop', 'ue5', 'unrealengine', 'robot-simulator', 'vehicle-simulator', 'carla', 'carla-simulator']",2023-11-20 03:28:12+00:00,2026-02-20 09:21:22+00:00,https://github.com/soda-auto/soda-sim
